Date : 2022-03-14 22:36:25
Directory : c:\Users\FizzyApple12\Desktop\3494_2022_repo
Total : 72 files,  3330 codes, 519 comments, 913 blanks, all 4762 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         57 |      2,559 |        501 |        859 |      3,919 |
| JSON       |          8 |        561 |          0 |          3 |        564 |
| Groovy     |          2 |         81 |         18 |         23 |        122 |
| Batch      |          1 |         68 |          0 |         22 |         90 |
| Ini        |          1 |         31 |          0 |          1 |         32 |
| Markdown   |          1 |         22 |          0 |          3 |         25 |
| Properties |          1 |          5 |          0 |          1 |          6 |
| YAML       |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         72 |      3,330 |        519 |        913 |      4,762 |
| .wpilib                                                                                                           |          1 |          6 |          0 |          0 |          6 |
| gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| gradle\wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| src                                                                                                               |         57 |      2,559 |        501 |        859 |      3,919 |
| src\main                                                                                                          |         57 |      2,559 |        501 |        859 |      3,919 |
| src\main\java                                                                                                     |         57 |      2,559 |        501 |        859 |      3,919 |
| src\main\java\frc                                                                                                 |         57 |      2,559 |        501 |        859 |      3,919 |
| src\main\java\frc\robot                                                                                           |         57 |      2,559 |        501 |        859 |      3,919 |
| src\main\java\frc\robot\commands                                                                                  |         13 |        463 |          4 |        155 |        622 |
| src\main\java\frc\robot\commands\autonomous                                                                       |          7 |        256 |          0 |         79 |        335 |
| src\main\java\frc\robot\commands\debug                                                                            |          5 |         82 |          0 |         30 |        112 |
| src\main\java\frc\robot\commands\teleop                                                                           |          1 |        125 |          4 |         46 |        175 |
| src\main\java\frc\robot\opmodes                                                                                   |          5 |         76 |          5 |         19 |        100 |
| src\main\java\frc\robot\opmodes\autonomous                                                                        |          3 |         56 |          0 |         10 |         66 |
| src\main\java\frc\robot\opmodes\debug                                                                             |          1 |         10 |          5 |          5 |         20 |
| src\main\java\frc\robot\opmodes\teleop                                                                            |          1 |         10 |          0 |          4 |         14 |
| src\main\java\frc\robot\sensors                                                                                   |          1 |         17 |          0 |          5 |         22 |
| src\main\java\frc\robot\subsystems                                                                                |         14 |        650 |         31 |        203 |        884 |
| src\main\java\frc\robot\subsystems\Vision                                                                         |          5 |        106 |         18 |         34 |        158 |
| src\main\java\frc\robot\utilities                                                                                 |         19 |      1,095 |        425 |        387 |      1,907 |
| src\main\java\frc\robot\utilities\di                                                                              |          6 |        393 |        354 |        143 |        890 |
| src\main\java\frc\robot\utilities\wpilibdi                                                                        |          8 |        458 |         71 |        192 |        721 |
| vendordeps                                                                                                        |          5 |        443 |          0 |          1 |        444 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\FizzyApple12\Desktop\3494_2022_repo\.travis.yml                                                          | YAML       |          3 |          0 |          1 |          4 |
