"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\OI.java", "Java", 7, 16, 3, 26
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\Robot.java", "Java", 33, 0, 7, 40
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\RobotConfig.java", "Java", 57, 6, 19, 82
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\RobotMap.java", "Java", 2, 0, 1, 3
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\ShootBallTask.java", "Java", 3, 0, 1, 4
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\autonomous\ShootTask.java", "Java", -2, 0, 0, -2
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\debug\TestShooter.java", "Java", -2, 0, 0, -2
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\commands\teleop\Drive.java", "Java", 9, 2, -1, 10
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\DriveAndHighShoot.java", "Java", -28, 0, -3, -31
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\DriveAndShoot.java", "Java", -21, 0, -3, -24
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootCloseHigh.java", "Java", 29, 0, 3, 32
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseHighThenDriveThenShootFarHigh.java", "Java", 26, 1, 3, 30
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDrive.java", "Java", 22, 0, 3, 25
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\autonomous\ShootCloseLowThenDriveThenShootCloseLow.java", "Java", 29, 0, 3, 32
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\opmodes\teleop\Teleop.java", "Java", 2, 0, 1, 3
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\AutoNav.java", "Java", -12, 0, -6, -18
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Climber.java", "Java", 12, 0, 4, 16
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Drivetrain.java", "Java", 120, 4, 36, 160
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Magazine.java", "Java", 44, 0, 8, 52
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\NavX.java", "Java", 9, 1, 3, 13
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Shooter.java", "Java", 95, 2, 25, 122
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\CameraServerSubsystem.java", "Java", -53, -18, -17, -88
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\CameraSwitcher.java", "Java", -4, 0, -4, -8
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\subsystems\Vision\ComputerVision.java", "Java", 52, 3, 15, 70
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoConfigurable.java", "Java", 39, 4, 6, 49
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\AutoOpMode.java", "Java", 12, 1, 4, 17
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\Pair.java", "Java", -9, 0, -3, -12
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\ShooterSetting.java", "Java", 14, 0, 4, 18
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\Triple.java", "Java", -11, 0, -3, -14
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\DiRobot.java", "Java", 3, 0, -1, 2
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiContainer.java", "Java", 12, 0, 6, 18
"c:\Users\FizzyApple12\Desktop\3494_2022_repo\src\main\java\frc\robot\utilities\wpilibdi\WPILibDiRuleBuilder.java", "Java", 43, 0, 34, 77
"Total", "-", 532, 22, 148, 702
